,search_date,title,address,floor_info,price,layout,building_area,building_use
5,2018-05-12,近捷運，採光佳，有景觀，全新家電裝潢,新北市淡水區民族路,9F/11F,"22,000元/月",2房1廳1衛1陽臺,24.0,電梯大樓/整層住家
9,2018-05-14,大衛營優質社區管理好，交通便利、裝潢佳,基隆市安樂區樂利三街,14F/18F,"17,000元/月",2房1廳2衛2陽臺,32.0,電梯大樓/整層住家
13,2018-05-14,家樂福夜市附近，雅房出租2房2廳,嘉義市西區興業西路,7F/8F,"7,500元/月",2房2廳1衛1陽臺,24.0,電梯大樓/整層住家
15,2018-05-14,台北市北投新民路捷運溫泉78坪雙拼美廈,台北市北投區新民路,2F/9F,"25,000元/月",4房3廳3衛3陽臺,78.0,電梯大樓/整層住家
16,2018-05-13,出海口海景高樓層溫馨房,新北市淡水區中正東路一段,19F/21F,"15,000元/月",1房1廳1衛0陽臺,18.01,電梯大樓/整層住家
17,2018-05-15,新四房兩廳鄰合晶科技歡迎分租,桃園市楊梅區蘋果路,整棟/3F,"23,000元/月",4房2廳2衛3陽臺,48.0,透天厝/住辦
20,2018-05-13,小巨捷運敦化學區樓中樓可三代同堂兼辦公,台北市松山區北寧路,5F/7F,"70,000元/月",7房2廳2衛1陽臺,66.35,電梯大樓/整層住家
26,2018-05-12,住辦，住家，店面,新竹縣竹北市新泰路,4F/9F,"50,000元/月",3房2廳2衛0陽臺,45.0,透天厝/整層住家
30,2018-05-14,僑愛國宅大坪數交通便捷機能佳視野好,桃園市大溪區僑愛一街,5F/10F,"12,000元/月",4房2廳2衛2陽臺,34.0,電梯大樓/整層住家
31,2018-05-14,水湳經貿公寓2樓3房,台中市西屯區中清路,2F/5F,"13,000元/月",3房2廳2衛1陽臺,28.0,公寓/整層住家
44,2018-05-14,近棒球場高樓層~四房(附車位),台中市北屯區崇德十五路,15F/15F,"28,000元/月",4房2廳2衛2陽臺,50.0,電梯大樓/住辦
48,2018-05-12,海景三角窗帷幕電大樓近市府採光氣派,基隆市中正區義一路,5F/10F,"28,000元/月",1房2廳1衛0陽臺,38.5,電梯大樓/住辦
54,2018-05-13,南勢幸福公園空屋大2房加車位面公園景觀戶,桃園市平鎮區大興路,13F/14F,"14,500元/月",2房2廳2衛1陽臺,35.0,電梯大樓/整層住家
55,2018-05-08,東南溫馨大雅房,新北市深坑區北深路三段,頂樓加蓋/4F,"12,000元/月",3房1廳1衛0陽臺,23.0,公寓/整層住家
62,2018-05-14,"鼎金家樂福後,一房一聽,全新裝潢",高雄市三民區順昌街,10F/15F,"14,000元/月",1房1廳1衛0陽臺,22.0,電梯大樓/整層住家
67,2018-05-14,優質住家陽光充足寬敞舒適金龍路底很好找,高雄市大社區大順街,整棟/4F,"27,000元/月",7房2廳6衛6陽臺,120.0,透天厝/整層住家
74,2018-05-14,景觀裝潢屋附傢俱家電,新北市淡水區中正路一段,12F/21F,"15,000元/月",1房1廳1衛2陽臺,24.89,電梯大樓/整層住家
81,2018-05-13,寧靜舒適.三面採光通風性佳,新北市新莊區中港路,5F/5F,"15,000元/月",3房2廳2衛2陽臺,35.0,公寓/整層住家
85,2018-05-10,櫸木地板裝潢~面對高雄海科大綠色森林,高雄市楠梓區德民路,8F/16F,"13,000元/月",3房2廳2衛2陽臺,38.0,電梯大樓/整層住家
87,2018-05-11,心天母-家電具二房含管理費大車位,桃園市桃園區大興路,8F/15F,"19,000元/月",2房2廳1衛1陽臺,28.4,電梯大樓/整層住家
88,2018-05-12,大順三路全新衛浴更衣室工業風住辦大樓,高雄市苓雅區中正一路,4F/8F,"15,000元/月",3房2廳2衛3陽臺,33.0,電梯大樓/整層住家
89,2018-05-08,永康區中華路全新典雅3房樓中樓*包車管*,台南市永康區中華路,3F/11F,"17,000元/月",3房2廳2衛1陽臺,35.0,電梯大樓/整層住家
94,2018-05-08,微風京品(3房1廳2衛1陽台),高雄市左營區先勝路,6F/15F,"16,000元/月",3房1廳2衛1陽臺,36.35,公寓/整層住家
95,2018-05-13,精緻裝潢.家樂福對面.大三房2廳2衛1陽,新北市林口區仁愛路,9F/12F,"27,500元/月",3房2廳2衛1陽臺,52.16,電梯大樓/整層住家
97,2018-05-11,視野絕佳.面操場綠地.近麗園國小免接送,新北市林口區麗園一街,8F/16F,"15,000元/月",3房2廳2衛3陽臺,45.0,電梯大樓/整層住家
102,2018-05-09,望中信，近史博，公寓三房兩廳,台南市永康區永安路,6F/6F,"11,000元/月",3房2廳2衛2陽臺,30.0,公寓/整層住家
104,2018-05-15,黃金店面四層超大120坪,彰化縣員林市莒光路,整棟/4F,"30,000元/月",10房2廳7衛3陽臺,120.0,透天厝/住辦
109,2018-05-12,彰化縣廠住辦合一佔地千坪,彰化縣大村鄉加錫巷,整棟/2F,"75,000元/月",8房3廳7衛1陽臺,1000.0,透天厝/住辦
119,2018-05-12,典雅溫馨二房,新北市樹林區學府路,2F/15F,"20,000元/月",2房1廳1衛1陽臺,25.0,電梯大樓/整層住家
124,2018-05-12,敦南遠企商圈正面林蔭藝廊四季景觀管理大樓,台北市大安區敦化南路二段,6F/12F,"58,000元/月",2房2廳2衛2陽臺,38.0,電梯大樓/整層住家
128,2018-05-11,美術館特區、草悟道三房兩廳電梯大樓,台中市西區大忠街,5F/13F,"17,000元/月",3房2廳2衛1陽臺,30.0,電梯大樓/整層住家
129,2018-05-09,10樓裝潢海景屋2+1房,高雄市左營區介壽路,10F/15F,"14,000元/月",2房1廳2衛1陽臺,23.0,電梯大樓/整層住家
132,2018-05-13,靜巷透天全新享受,台南市善化區中華路,整棟/3F,"26,000元/月",4房2廳4衛1陽臺,75.0,透天厝/整層住家
136,2018-05-14,近公園.市場.交通方便,台北市萬華區青年路,4F/5F,"9,000元/月",2房1廳1衛1陽臺,10.0,公寓/整層住家
137,2018-05-15,善化百萬裝潢優質別墅,台南市善化區陽明路,整棟/4F,"25,000元/月",4房1廳4衛3陽臺,62.0,別墅/整層住家
139,2018-05-13,社區邊間戶採光通風極佳(含管理費),桃園市中壢區福州二街,5F/13F,"20,000元/月",3房2廳2衛2陽臺,50.0,公寓/整層住家
144,2018-05-12,東山街新竹中學培英學區明亮3房附傢俱電　,新竹市東區東山街,4F/5F,"12,500元/月",3房2廳1衛2陽臺,28.0,公寓/整層住家
146,2018-05-14,林森路與四維路交叉處之1樓公寓出租,新竹市北區四維路,1F/5F,"8,000元/月",2房2廳1衛1陽臺,10.0,公寓/整層住家
150,2018-05-12,天母陽光山水-首席天下出租(含平面車位),台北市北投區天母西路,7F/11F,"40,000元/月",3房2廳2衛2陽臺,55.0,電梯大樓/整層住家
151,2018-05-10,全新裝潢小毫宅！近捷運麟光站,台北市大安區臥龍街,2F/13F,"26,000元/月",1房1廳1衛1陽臺,13.0,電梯大樓/整層住家
158,2018-05-08,美寓出租便宜又實用,新北市泰山區明志路,5F/7F,"15,000元/月",3房2廳1衛1陽臺,25.0,電梯大樓/整層住家
